Name,Address,Type,Discription,Image_URL
Lula Disc Golf Course,"5290 Harris Rd, Lula, GA 30554",Parks & Recreational area,Me and my hometown friends go up to Lula twice a year to play discgolf and Glamp out. We make a trip out of because we find that taking that time to hang out just us is the best way to decompress and catch up after not seeing each other in a couple of months.,https://udisc-parse.s3.amazonaws.com/4a7a79616efb2a5923b81ae69ffe2b28_m_2WnQe7y9B0ooHy4MTuOudBZ0s05t.jpg 
Little Mulbery Disc golf course,"3800 Hog Mountain Rd, Dacula, GA 30019",Parks & Recreational area,This is me and my friends favorite course to go play because it is close to us and one of the highest rated course in georgia. We always engoy this course because of the difficulty and skill it takes to preform well here. This course is one of the longer one close to us that we can spend lots of time just playing and messing around together,https://d22ksth68ujgu2.cloudfront.net/4029e976d6a15c1720e24999c5fa6d9a_m_LMPsunny.jpg 
Suwanee Sports Academy,"3640 Burnette Rd, Suwanee, GA 30024",Parks & Recreational area,Suwanee sports acedemy is where I play most of my basketball games and also where I would go watch my siblings play. Because we all played basketball this was a place we ended up spending a lot of time just because there were 3 of us and we all played at different times.,https://ssasports.com/sites/default/files/inline-images/facility.jpg 
Downtown Suwanee,"330 Town Center Ave, Suwanee, GA 30024",Parks & Recreational area,Down town Suwanee is where I would go on dates because there were lots of different restaurunts there while also having a nice park just to walk around in. They would also hold all kind of events there that would bring the whole town together like a farms market or movie nights.,https://www.suwanee.com/home/showpublishedimage/916/636555050464670000 
George Peirce Park,"George Pierce Park - Yellow Trail, 55 Buford Hwy NE, Suwanee, GA 30024",Parks & Recreational area,This was where most of the baseball games and practices took place if we were not in a big tournament. This was also where the highschool baseball team would do conditioning and where my brother would play most of his games while I was living there.,https://tse4.mm.bing.net/th/id/OIP.nF18f-sF2ctYGXxDp8QcIQHaFj?rs=1&pid=ImgDetMain&o=7&rm=3 
Waffle House,"545 Peachtree Industrial Blvd, Suwanee, GA 30024",Restaurant,After our high school baseball games or big functions we would come here and just eat and hangout because it was the only place still open that late at night. We would talk about how the game went or what cool things we had coming up and just a way to decompress after a long day.,https://cdn.businessyab.com/assets/tumbnails2/93a70c97702065923b948924d8a8b706_-united-states-georgia-gwinnett-county-suwanee-peachtree-industrial-boulevard-545-waffle-house-770-831-9634.jpg
North Gwinnett high school ,"20 W Price Rd, Suwanee, GA 30024",School,This was my highscool and where I met most of my friends that I still keep in touch with today. We were all over the place and this is where one of my baseball coaches told us about disc golf which has since become one of our biggest passions and how we go hang out with each other now.,https://tse3.mm.bing.net/th/id/OIP.rXVT-vuJ5qtYvxJ04HKT8QHaE7?rs=1&pid=ImgDetMain&o=7&rm=3 
Mcdonalds,"6005 Cumming Hwy, Sugar Hill, GA 30518",Restaurant,My senior year this is where a lot of the post game meals were had as the pitcher only group and we would talk about everything that was going on away from parents and coaches. This is where we would talk about our frustrations with each other and try to help each other get to a better place.,https://s3-media0.fl.yelpcdn.com/bphoto/ghJcQqLMaFNn0nItJyfh1g/o.jpg 
Suwanee barber shop,"525 Peachtree Industrial Blvd, Suwanee, GA 30024",Shop,This is the barber shop where I went for years getting all different kinds of haircuts trying to see what best fit me and also where I would just talk about life with my barber. It was a great place fom me to go and figure out who I am both with my hair and just talking.,https://tse3.mm.bing.net/th/id/OIP.53sBjI2FdlDCiYuwMUhsMAAAAA?rs=1&pid=ImgDetMain&o=7&rm=3 
Iron Age,"2131 Pleasant Hill Rd, Duluth, GA 30096",Restaurant,Me and My friends would come here to eat all you could eat korean barbeque and talk about life. We could come here for hours and just eat and hangout without having to care what is going on around us and being able to live in the moment with my closest friends.,https://i.pinimg.com/originals/89/4e/3f/894e3fd4d0c849e82196f377eaebbb5b.jpg 
